epoch,phase,itr,lr,mode,KL,RE_img,BCE_attr,loss,time
1,train,30,0.0001,joint,308.0237731933594,0.007289423607289791,11.422494888305664,1.1649402379989624,0m 31s
1,train,30,0.0001,image,306.20556640625,0.007322111167013645,0.0,0.02263239026069641,0m 31s
1,train,30,0.0001,attrs,14.84347915649414,0.0,11.312335968017578,1.1319758892059326,0m 31s
1,train,60,0.0001,joint,255.55380249023438,0.0068650394678115845,10.202814102172852,1.039924144744873,0m 29s
1,train,60,0.0001,image,253.90377807617188,0.0067903101444244385,0.0,0.01948549784719944,0m 29s
1,train,60,0.0001,attrs,19.806318283081055,0.0,9.765970230102539,0.9775872826576233,0m 29s
1,train,90,0.0001,joint,203.19229125976562,0.007923906669020653,9.128019332885742,0.9308854341506958,0m 29s
1,train,90,0.0001,image,201.91842651367188,0.007838000543415546,0.0,0.01793392188847065,0m 29s
1,train,90,0.0001,attrs,25.442829132080078,0.0,8.660643577575684,0.8673365116119385,0m 29s
1,train,120,0.0001,joint,148.23333740234375,0.00956969615072012,8.11894416809082,0.8288757801055908,0m 30s
1,train,120,0.0001,image,144.33912658691406,0.008877972140908241,0.0,0.016094926744699478,0m 30s
1,train,120,0.0001,attrs,32.1097526550293,0.0,7.683363914489746,0.7699419260025024,0m 30s
1,train,150,0.0001,joint,118.21577453613281,0.011430451646447182,7.172557830810547,0.7345969676971436,0m 31s
1,train,150,0.0001,image,109.990966796875,0.010346988216042519,0.0,0.015846535563468933,0m 31s
1,train,150,0.0001,attrs,40.292755126953125,0.0,6.88706111907959,0.6907206773757935,0m 31s
1,train,180,0.0001,joint,111.45477294921875,0.01308984775096178,6.392238616943359,0.6578864455223083,0m 30s
1,train,180,0.0001,image,98.93211364746094,0.011167101562023163,0.0,0.016113705933094025,0m 30s
1,train,180,0.0001,attrs,48.882347106933594,0.0,6.171335220336914,0.6195776462554932,0m 30s
1,train,210,0.0001,joint,113.94888305664062,0.01335715688765049,5.536087989807129,0.5726633667945862,0m 30s
1,train,210,0.0001,image,95.7751693725586,0.010909637436270714,0.0,0.015698395669460297,0m 30s
1,train,210,0.0001,attrs,57.50127410888672,0.0,5.3252058029174805,0.535395622253418,0m 30s
1,train,240,0.0001,joint,116.69441223144531,0.01370767317712307,4.884914398193359,0.508033812046051,0m 28s
1,train,240,0.0001,image,93.81269836425781,0.011201908811926842,0.0,0.015892542898654938,0m 28s
1,train,240,0.0001,attrs,65.96564483642578,0.0,4.731382369995117,0.4764364957809448,0m 28s
1,train,270,0.0001,joint,119.14907836914062,0.013666341081261635,4.260044097900391,0.44562819600105286,0m 30s
1,train,270,0.0001,image,91.96050262451172,0.010889300145208836,0.0,0.015487324446439743,0m 30s
1,train,270,0.0001,attrs,73.58625793457031,0.0,4.114062309265137,0.4150855243206024,0m 30s
1,train,300,0.0001,joint,126.8672866821289,0.014492434449493885,3.90185284614563,0.41102108359336853,0m 30s
1,train,300,0.0001,image,96.25227355957031,0.011115659028291702,0.0,0.015928272157907486,0m 30s
1,train,300,0.0001,attrs,81.14826965332031,0.0,3.7811508178710938,0.38217246532440186,0m 30s
1,train,330,0.0001,joint,131.9877166748047,0.014640175737440586,3.596437931060791,0.3808833658695221,0m 30s
1,train,330,0.0001,image,96.80230712890625,0.0112191466614604,0.0,0.016059260815382004,0m 30s
1,train,330,0.0001,attrs,88.52490234375,0.0,3.4822840690612793,0.3526546359062195,0m 30s
1,train,360,0.0001,joint,135.6185760498047,0.0138207096606493,3.0235190391540527,0.32295358180999756,0m 29s
1,train,360,0.0001,image,96.55372619628906,0.01019294187426567,0.0,0.015020628459751606,0m 29s
1,train,360,0.0001,attrs,94.95543670654297,0.0,2.9232468605041504,0.29707247018814087,0m 29s
1,train,390,0.0001,joint,140.113525390625,0.015791352838277817,2.808241367340088,0.30362117290496826,0m 30s
